frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
30,2025-06-23 11:18:18,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:18:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:18:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:18:20,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:18:20,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:18:21,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:18:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:18:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:18:23,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:18:24,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:18:24,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:18:25,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:18:26,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:18:26,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:21:43,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:21:44,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:21:45,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:21:46,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:21:46,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:21:47,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:21:48,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:21:48,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:21:49,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:21:50,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:21:50,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
